m,n,k,gflops_js,gflops_wasm
16,16,16,0.00793,0.80314
32,32,32,0.74136,8.29570
48,48,48,0.72926,9.06492
64,64,64,0.73646,9.44663
80,80,80,0.74138,9.66038
96,96,96,0.75493,9.38214
112,112,112,0.74566,9.86953
128,128,128,0.72180,9.18796
144,144,144,0.73562,9.50496
160,160,160,0.73400,9.48477
176,176,176,0.74201,9.53108
192,192,192,0.70564,8.70321
208,208,208,0.76678,8.96038
224,224,224,0.71140,8.40519
240,240,240,0.73923,8.56532
256,256,256,0.50547,5.60652
272,272,272,0.70297,8.44875
288,288,288,0.69613,8.10349
304,304,304,0.67829,8.43513
320,320,320,0.63718,7.30825
336,336,336,0.70181,8.29192
352,352,352,0.62306,8.28648
368,368,368,0.70794,8.43606
384,384,384,0.51619,6.13814
400,400,400,0.70889,8.25977
416,416,416,0.68403,7.88842
432,432,432,0.69522,8.12091
448,448,448,0.53905,6.60404
464,464,464,0.70148,8.08058
480,480,480,0.62685,7.78721
496,496,496,0.70525,7.60646
512,512,512,0.47508,5.54741
528,528,528,0.69371,8.09672
544,544,544,0.62154,7.56583
560,560,560,0.69311,7.89843
576,576,576,0.52151,6.27039
592,592,592,0.68198,7.88056
608,608,608,0.58549,7.35610
624,624,624,0.68089,7.78192
640,640,640,0.48096,5.70631
656,656,656,0.66931,7.70688
672,672,672,0.56582,7.03548
688,688,688,0.66305,7.86376
704,704,704,0.49967,5.95139
720,720,720,0.66579,7.54901
736,736,736,0.57018,6.66286
752,752,752,0.62361,7.27630
