m,n,k,gflops_js,gflops_wasm
16,16,16,0.00650,0.58935
32,32,32,0.70926,0.77649
48,48,48,0.72117,0.82809
64,64,64,0.73143,0.82761
80,80,80,0.71409,0.85748
96,96,96,0.69418,0.85428
112,112,112,0.69845,0.87154
128,128,128,0.67442,0.72772
144,144,144,0.73078,0.86595
160,160,160,0.73763,0.78715
176,176,176,0.74050,0.85644
192,192,192,0.59266,0.76777
208,208,208,0.71370,0.80911
224,224,224,0.68851,0.74932
240,240,240,0.71418,0.78659
256,256,256,0.49244,0.54865
272,272,272,0.73381,0.76035
288,288,288,0.70267,0.72972
304,304,304,0.71127,0.75425
320,320,320,0.58350,0.66881
336,336,336,0.72268,0.75014
352,352,352,0.71218,0.72581
368,368,368,0.71459,0.74688
384,384,384,0.50866,0.55437
400,400,400,0.70262,0.74372
416,416,416,0.68574,0.73893
432,432,432,0.71589,0.73909
448,448,448,0.59617,0.58980
464,464,464,0.70706,0.74970
480,480,480,0.70155,0.65433
496,496,496,0.70453,0.72286
